Botanical,Lower,Family,Country,State,District,Collection,Date,latitude,longitude
Allium tuberosum,,Alliaceae,,Uttarakhand,Nainital,AP,Sept. 1999,12.971599,77.594563
Achyranthes aspera,,Amaranthaceae,,Uttarakhand,Dehradun,RG,Sept. 1999,12.843781,75.247906
Achyranthes bidentata,,Amaranthaceae,,Himachal Pradesh,Shimla,,23.05.2005,13.340881,74.742143
Aerva javanica,,Amaranthaceae,,Rajasthan,Sikar,RN/06,Oct. 2006,15.849695,74.497674
Aerva lanata,,Amaranthaceae,,Andhra Pradesh,Ranga Reddy,,April 2007,31.104815,77.173403
Aerva monsoniae,,Amaranthaceae,,Andhra Pradesh,Hyderabad,,,29.380304,79.463566
Aerva sanguinolenta,,Amaranthaceae,,Jharkhand,Sahibganj,1/24,09.03.2000,27.492191,95.346775
Allmania nodiflora,var. aspera (Roth) Hook.f.,Amaranthaceae,,Karnataka,Ramanagara,KFP 1555,19.07.1978,26.116047,83.231863
Alternanthera philoxeroides,,Amaranthaceae,,Assam,Cachar,GD-107,11.03.2000,15.139393,76.921443
Alternanthera pungens,,Amaranthaceae,,Haryana,Gurgaon,ERN,12.10. 2005,30.562846,77.470197
Alternanthera sessilis,,Amaranthaceae,,Karnataka,Uttarakannada,KFP 13283,18.07.1981,16.990215,73.312023
Alternanthera tenella,,Amaranthaceae,,Maharashtra,Ratnagiri,BBJ-279,01.05.2001,12.29581,76.639381
Amaranthus blitum,,Amaranthaceae,,Himachal Pradesh,Kangra,SHM/07/P/93,06.09.2006,17.385044,78.486671
Amaranthus cruentus,,Amaranthaceae,,Karnataka,Chamrajnagar ,JR-04-33,04.12.2004,13.92993,75.568101
Amaranthus dubius,,Amaranthaceae,,Karnataka,Shimoga,JSR-04-109,15.10.2004,14.793707,74.686882
Amaranthus dubius,,Amaranthaceae,,Himachal Pradesh,Shimla,SHM/07/P/86,06.08.2006,26.316082,91.598396
Amaranthus graecizans,,Amaranthaceae,,Kerala,Thrissur,JSR-04-141,17.10.2004,7.083333,93.8
Amaranthus hybridus,,Amaranthaceae,,Kerala,Thrissur,JSR-04-80,14.10.2004,12.971599,77.594563
Amaranthus hypochondriacus,,Amaranthaceae,,Himachal Pradesh,Lahaul & Spiti,,Aug. 1984,17.686816,83.218482
Amaranthus tricolor,,Amaranthaceae,,Karnataka,Tumkur,JSR-04-57,13.10.2004,30.404105,79.331769
Amaranthus tricolor,,Amaranthaceae,,Himachal Pradesh,Shimla,SHM/07/P/85,07.07.2006,31.104815,77.173403
Amaranthus viridis,,Amaranthaceae,,Uttarakhand,Almora,AP/2006,Oct. 2006,32.246137,78.034916
Bosia amherstiana,,Amaranthaceae,,Uttarakhand,Nainital,KSP/KCP-209,July 1987,32.246137,78.034916
Cyathula prostrata,,Amaranthaceae,,Assam ,Cachar,GD-114A,06.02.2000,34.083671,74.797282
Digera arvensis,,Amaranthaceae,,Haryana,Gurgaon,SSM/Expl./2004,July 2004,30.726831,78.435404
Digera arvensis,,Amaranthaceae,,Maharashtra,Akola,,22.01.1965,29.380304,79.463566
Digera muricata,,Amaranthaceae,,Uttar Pradesh,Agra,AKI-3,,22.61681,88.402895
Pupalia lappacea,,Amaranthaceae,,Kerala,Palakkad,ERN,Dec. 1999,31.104815,77.173403
Curculigo orchioides,,Amaryllidaceae,,Orissa,Mayurbhanj,RM-III-30,Dec. 1999,34.083671,74.797282
Zephyranthes grandiflora,,Amaryllidaceae,,Himachal Pradesh,Shimla,SHM/07/P/76,04.04.2006,12.29581,76.639381
Zephyranthes grandiflora,,Amaryllidaceae,,Himachal Pradesh,Shimla,SHM/08-111,14.06.2006,29.380304,79.463566
Anacardium occidentale,,Anacardiaceae,,Kerala,Kottayam,RN-2006,20.12.2006,19.107132,81.953481
Anacardium occidentale,,Anacardiaceae,,Maharashtra,Ratnagiri,BBJ-221,21.01.2001,12.337494,75.806908
Buchanania axillaris,,Anacardiaceae,,Karnataka,Bangalore,KFP 7488,30.04.1979,26.452288,92.027319
Buchanania axillaris,,Anacardiaceae,,Karnataka,Mysore,KFP 2249,21.08.1978,24.833271,92.778905
Buchanania lanzan,,Anacardiaceae,,Gujarat,Vadodra,MD-816,20.04.2007,31.104815,77.173403
Holigarna ferruginea,,Anacardiaceae,,Karnataka,Dakshina Kannada,KFP 1912,22.07.1978,16.990215,73.312023
Holigarna ferruginea,,Anacardiaceae,,Karnataka,Udupi,KFP 5128,27.12.1978,31.104815,77.173403
Holigarna grahamii,,Anacardiaceae,,Karnataka,Hassan,KFP 5472,26.12.1978,30.316495,78.032192
Lannea coromandelica,,Anacardiaceae,,Karnataka,Belgaum,KFP 7862,23.05.1979,13.315258,75.775402
Pistacia atlantica,,Anacardiaceae,,Himachal Pradesh,Shimla,SHM/07/P/55,27.04.2006,30.404105,79.331769
Pistacia atlantica,,Anacardiaceae,,Himachal Pradesh,Shimla,SHM/07/P/56,06.04.2006,34.553852,76.134894
Pistacia integerrima,,Anacardiaceae,,Uttarakhand,Nainital,MGD-65/03,26.07.2003,30.404105,79.331769
Rhus chinensis,,Anacardiaceae,,Assam,Tinsukia,SMBRH-64,01.03.2003,29.380304,79.463566
Rhus javanica,,Anacardiaceae,,Uttarakhand,Garhwal,,26.06.1995,31.104815,77.173403
Rhus javanica,,Anacardiaceae,,Uttarakhand,Nainital,KSN/KCP-9,Oct. 1986,31.708166,76.931367
